model,batch_size,learning_rate,filters,precision_area,recall_area,f1_score_area
Unet,4,0.01,4,0.55122309923172,0.7995226979255676,0.6343755125999451
Unet,8,0.01,4,0.5959144234657288,0.7242934703826904,0.6171712279319763
Unet,16,0.01,4,0.5877175331115723,0.7540438175201416,0.6267489194869995
Unet,32,0.01,4,0.6237545013427734,0.7150945663452148,0.633036196231842
Unet,4,0.0005,4,0.584097683429718,0.763472855091095,0.6471393704414368
Unet,8,0.0005,4,0.6499828696250916,0.6656641364097595,0.6294565796852112
Unet,16,0.0005,4,0.6508570313453674,0.6517710089683533,0.6151795983314514
Unet,32,0.0005,4,0.5385746955871582,0.7373015284538269,0.6111050248146057
Unet,4,0.001,4,0.5771269202232361,0.7692620158195496,0.6156405210494995
Unet,8,0.001,4,0.10641961544752121,1.0,0.19074232876300812
Unet,16,0.001,4,0.5710066556930542,0.6708415150642395,0.5793783068656921
Unet,32,0.001,4,0.6388251185417175,0.7071439623832703,0.6497284770011902
Unet,4,5e-05,4,0.550876796245575,0.7377896904945374,0.6032514572143555
Unet,8,5e-05,4,0.6061792969703674,0.7150585651397705,0.6449024081230164
Unet,16,5e-05,4,0.521079421043396,0.7320242524147034,0.5959469676017761
Unet,32,5e-05,4,0.6147175431251526,0.6694511771202087,0.6259756684303284
Unet,4,0.0001,4,0.5968039631843567,0.7648518681526184,0.6539002060890198
Unet,8,0.0001,4,0.5980597138404846,0.6734006404876709,0.6238682866096497
Unet,16,0.0001,4,0.5564008355140686,0.727749764919281,0.5979436039924622
Unet,32,0.0001,4,0.5615789890289307,0.6964743137359619,0.6056293845176697
Unet,4,0.01,8,0.10641609877347946,0.9998900890350342,0.19073450565338135
Unet,8,0.01,8,0.6371893286705017,0.64442378282547,0.5993257164955139
Unet,16,0.01,8,0.5753794312477112,0.7820964455604553,0.6355267763137817
Unet,32,0.01,8,0.6223273277282715,0.6565197706222534,0.590302586555481
Unet,4,0.0005,8,0.6206108331680298,0.7244060039520264,0.6430981755256653
Unet,8,0.0005,8,0.5745392441749573,0.6689858436584473,0.6015446782112122
Unet,16,0.0005,8,0.6246874332427979,0.6972954869270325,0.6202474236488342
Unet,32,0.0005,8,0.6564615368843079,0.6826105713844299,0.6444788575172424
Unet,4,0.001,8,0.6206493973731995,0.705015242099762,0.6262852549552917
Unet,8,0.001,8,0.6613025069236755,0.6363234519958496,0.6130136847496033
Unet,16,0.001,8,0.6203827857971191,0.7362847328186035,0.6324768662452698
Unet,32,0.001,8,0.596727728843689,0.7329714894294739,0.6142157912254333
Unet,4,5e-05,8,0.5404976010322571,0.7886105179786682,0.6278501749038696
Unet,8,5e-05,8,0.5315915942192078,0.7941158413887024,0.6052525043487549
Unet,16,5e-05,8,0.5867511630058289,0.7241604924201965,0.5944699645042419
Unet,32,5e-05,8,0.6026492714881897,0.7370513081550598,0.6461769938468933
Unet,4,0.0001,8,0.5723077654838562,0.8065494894981384,0.6572617888450623
Unet,8,0.0001,8,0.645621120929718,0.633854329586029,0.6027668118476868
Unet,16,0.0001,8,0.6305034756660461,0.6935486793518066,0.6350763440132141
Unet,32,0.0001,8,0.5950040221214294,0.7051107883453369,0.6243816614151001
Unet,4,0.01,16,0.10641961544752121,1.0,0.19074232876300812
Unet,8,0.01,16,0.61600661277771,0.6805177330970764,0.5981167554855347
Unet,16,0.01,16,0.5909231305122375,0.7524621486663818,0.6305341124534607
Unet,32,0.01,16,0.10641961544752121,1.0,0.19074232876300812
Unet,4,0.0005,16,0.6533456444740295,0.6709320545196533,0.625063955783844
Unet,8,0.0005,16,0.6129651665687561,0.7368499636650085,0.6370471119880676
Unet,16,0.0005,16,0.6349598169326782,0.6673176884651184,0.6130527853965759
Unet,32,0.0005,16,0.6221299767494202,0.643469512462616,0.6064359545707703
Unet,4,0.001,16,0.10641961544752121,1.0,0.19074232876300812
Unet,8,0.001,16,0.6276856064796448,0.7130096554756165,0.6230143904685974
Unet,16,0.001,16,0.6391075253486633,0.7536661028862,0.6792634129524231
Unet,32,0.001,16,0.6088702082633972,0.7423903942108154,0.6306759119033813
Unet,4,5e-05,16,0.551149308681488,0.7157164216041565,0.6026357412338257
Unet,8,5e-05,16,0.6077959537506104,0.7412006855010986,0.638829231262207
Unet,16,5e-05,16,0.5978711247444153,0.7179372906684875,0.6091555953025818
Unet,32,5e-05,16,0.4967164099216461,0.8460831046104431,0.6028518676757812
Unet,4,0.0001,16,0.5912873148918152,0.7647098898887634,0.645837128162384
Unet,8,0.0001,16,0.6154237389564514,0.7017209529876709,0.6200721859931946
Unet,16,0.0001,16,0.5570781826972961,0.7756304144859314,0.6306230425834656
